name,type,description
Black,Color,Dark color that is often linked with mystery, elegance, and the unknown.
White,Color,Pure color that symbolizes innocence, simplicity, and the clarity of a blank canvas.
Brown,Color,Earthy color that evokes feelings of warmth, stability, and the comfort of home.
Pink,Color,Soft color that is often linked with love, compassion, and the sweetness of a spring day.
Gray,Color,Neutral color that represents balance, sophistication, and the quiet strength of a cloudy sky.
Rectangle,Shape,Stable shape with four sides and four right angles, symbolizing structure and order.
Oval,Shape,Curved shape with no corners or edges, representing grace, elegance, and the beauty of nature.
Heart,Shape,Symmetrical shape that symbolizes love, affection, and the emotional center of the body.
Star,Shape,Dynamic shape with five points, representing guidance, inspiration, and the light of hope.
Metal,Element,Durable element associated with strength, resilience, and the transformative power of fire.
Wood,Element,Nurturing element that symbolizes growth, flexibility, and the grounding energy of the earth.
Glass,Element,Transparent element that represents clarity, reflection, and the delicate beauty of light.
Ice,Element,Cold element that symbolizes stillness, purity, and the crystalline beauty of winter.
Excited,Emotion,Positive emotion that represents anticipation, enthusiasm, and the thrill of new experiences.
Afraid,Emotion,Deep emotion that symbolizes fear, anxiety, and the feeling of being overwhelmed.
Jealous,Emotion,Fiery emotion that represents envy, insecurity, and the heat of comparison.
Disgusted,Emotion,Sudden emotion that symbolizes revulsion, distaste, and the feeling of being repulsed.
Zero,Number,The number representing nothingness, emptiness, and the void of infinite potential.
Number 10,Number,The number representing completion, wholeness, and the beginning of a new cycle.
Number 20,Number,The number representing duality, balance, and the idea of opposites.
Number 30,Number,The number representing creativity, growth, and the power of manifestation.
Number 40,Number,The number representing stability, structure, and the foundation of order.
Number 50,Number,The number representing change, freedom, and the dynamic energy of movement.
Number 60,Number,The number representing harmony, balance, and the nurturing aspect of family.
Number 70,Number,The number representing spirituality, intuition, and the mysteries of the universe.
Number 80,Number,The number representing abundance, success, and the infinite possibilities of life.
Number 90,Number,The number representing completion, fulfillment, and the end of a cycle.
